position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-2c2575784b61b8d761307369,ACTIVE,K03-ACT-2C2575784B61B8D761307369,T040,BTCUSDT,LONG,2026-06-01T23:29:00+08:00,2026-06-01T23:46:37+08:00,50,32,362.99999987,149.46839998,0,0,213.53159989,29.893680,32,243.42527989,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-3485b7116b913dde742f634d,ACTIVE,K03-ACT-3485B7116B913DDE742F634D,T041,BTCUSDT,LONG,2026-06-02T00:11:05+08:00,2026-06-02T00:14:45+08:00,51,15,357.6000,148.72860000,0,0,208.87140000,29.74572000,15,238.61712000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-b541fff209e03a34af57dec9,ACTIVE,K03-ACT-B541FFF209E03A34AF57DEC9,T042,BTCUSDT,SHORT,2026-06-02T00:26:32+08:00,2026-06-02T02:26:09+08:00,52,24,-1192.8000,399.70279997,0,0,-1592.50279997,79.94056000,24,-1512.56223997,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-40e975bc35f3cd3599d73bb4,ACTIVE,K03-ACT-40E975BC35F3CD3599D73BB4,T043,BTCUSDT,LONG,2026-06-02T02:26:09+08:00,2026-06-02T02:26:17+08:00,53,258,-25.28449957,571.33215743,0,0,-596.61665700,114.26643155,258,-482.35022545,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-a9611f518f4df9ec37dbfefc,ACTIVE,K03-ACT-A9611F518F4DF9EC37DBFEFC,T044,BTCUSDT,SHORT,2026-06-02T02:32:05+08:00,2026-06-02T05:13:43+08:00,54,9,2015,142.70899999,0,0,1872.29100001,28.54180000,9,1900.83280001,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-943ea8cd172635a48239cc38,ACTIVE,K03-ACT-943EA8CD172635A48239CC38,T045,BNBUSDT,SHORT,2026-06-02T05:19:49+08:00,2026-06-02T05:30:44+08:00,55,28,64,55.36319990,0,0,8.63680010,11.07264000,28,19.70944010,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-3b096fcedd9b8f809e721fbc,ACTIVE,K03-ACT-3B096FCEDD9B8F809E721FBC,T046,BTCUSDT,LONG,2026-06-02T06:07:32+08:00,2026-06-02T06:09:28+08:00,56,13,97.0000,99.15549999,0,0,-2.15549999,19.83110000,13,17.67560001,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-da92dcbc930d26d102695776,ACTIVE,K03-ACT-DA92DCBC930D26D102695776,T047,BTCUSDT,LONG,2026-06-02T17:29:10+08:00,2026-06-02T18:03:15+08:00,57,2,92.08559999,40.61988047,0,0,51.46571952,8.12397609,2,59.58969561,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-39a1d336a0cfe73511b0ac5d,ACTIVE,K03-ACT-39A1D336A0CFE73511B0AC5D,T048,BTCUSDT,SHORT,2026-06-02T18:13:32+08:00,2026-06-02T18:22:39+08:00,58,8,136.444,24.66730317,0,0,111.77669683,4.93346064,8,116.71015747,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-07ffc3c4649cbef037d324d6,ACTIVE,K03-ACT-07FFC3C4649CBEF037D324D6,T049,BTCUSDT,LONG,2026-06-02T19:07:21+08:00,2026-06-03T03:33:28+08:00,59,162,-36690.80369957,1411.82434834,-39.29930331,1,-38141.92735122,282.36486971,162,-37859.56248151,LOSS,OBSERVED_EVENT_SUM,NONE
